FormCode	Subtype	ProcessingCenter	ExpectedProcessingTime	ServiceRequestDate	UpdatedByUSCIS
I-102	Initial issuance or replacement of a Form I-94	CALIFORNIA	6.5 Months - 15 Months	June 14, 2019	August 27, 2020
I-102	Initial issuance or replacement of a Form I-94	NATIONAL	6.5 Months - 15 Months	June 14, 2019	August 27, 2020
I-102	Initial issuance or replacement of a Form I-94	NEBRASKA	6.5 Months - 15 Months	June 14, 2019	August 27, 2020
I-102	Initial issuance or replacement of a Form I-94	TEXAS	6.5 Months - 15 Months	June 14, 2019	August 27, 2020
I-102	Initial issuance or replacement of a Form I-94	VERMONT	6.5 Months - 15 Months	June 14, 2019	August 27, 2020
I-129	Blanket L	CALIFORNIA	5 Weeks - 4 Months	May 05, 2020	August 27, 2020
I-129	Blanket L	VERMONT	2.5 Months - 4 Months	May 04, 2020	August 27, 2020
I-129	E - Treaty traders and investors	CALIFORNIA	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	E3 - Certain specialty ...essionals from Australia	VERMONT	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	CALIFORNIA	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	TEXAS	4 Months - 6 Months	March 07, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...Visa to be issued abroad	VERMONT	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	CALIFORNIA	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	TEXAS	4 Months - 6 Months	March 07, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...ge of status in the U.S.	VERMONT	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	CALIFORNIA	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	NEBRASKA	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	TEXAS	4 Months - 6 Months	March 07, 2020	August 27, 2020
I-129	H-1B - Specialty occupa...sion of stay in the U.S.	VERMONT	4 Months - 6 Months	March 16, 2020	August 27, 2020
I-129	H-2A - Temporary workers	CALIFORNIA	2 Weeks - 2.5 Months	August 18, 2020	August 27, 2020
I-129	H-2B - Other temporary workers	CALIFORNIA	5 Weeks - 3 Months	June 04, 2020	August 27, 2020
I-129	H-2B - Other temporary workers	VERMONT	4 Weeks - 3 Months	June 04, 2020	August 27, 2020
I-129	H-3 - Temporary trainees	CALIFORNIA	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	H-3 - Temporary trainees	VERMONT	5 Months - 7 Months	February 17, 2020	August 27, 2020
I-129	L - Intracompany transfers	CALIFORNIA	5 Weeks - 3 Months	June 04, 2020	August 27, 2020
I-129	L - Intracompany transfers	TEXAS	4 Months - 6 Months	March 07, 2020	August 27, 2020
I-129	L - Intracompany transfers	VERMONT	2.5 Months - 4 Months	May 04, 2020	August 27, 2020
I-129	O - Extraordinary ability	CALIFORNIA	2 Weeks - 2.5 Months	June 20, 2020	August 27, 2020
I-129	O - Extraordinary ability	VERMONT	4 Weeks - 3 Months	June 08, 2020	August 27, 2020
I-129	P - Athletes, artists, and entertainers	CALIFORNIA	2 Weeks - 2.5 Months	June 20, 2020	August 27, 2020
I-129	P - Athletes, artists, and entertainers	VERMONT	2 Months - 4 Months	May 06, 2020	August 27, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	CALIFORNIA	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	Q - Cultural exchange v... the Irish Peace process	VERMONT	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129	R - Religious occupation	CALIFORNIA	5 Months - 7 Months	February 04, 2020	August 27, 2020
I-129	R - Religious occupation	VERMONT	2 Months - 7 Months	February 05, 2020	August 27, 2020
I-129	TN - North American Fre...ent (NAFTA) professional	VERMONT	2 Months - 4 Months	May 05, 2020	August 27, 2020
I-129CW	CW-1 - CNMI-Only Nonimmigrant Transitional Worker	CALIFORNIA	5 Weeks - 5 Months	April 05, 2020	August 27, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	CALIFORNIA	5 Months - 7 Months	February 04, 2020	August 27, 2020
I-129F	K-1/K-2 - Not yet marri...) and/or dependent child	VERMONT	15.5 Months - 20 Months	January 04, 2019	August 27, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	CALIFORNIA	5 Months - 7 Months	February 04, 2020	August 27, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	NEBRASKA	5 Months - 7 Months	February 05, 2020	August 27, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	POTOMAC	6 Months - 8 Months	January 17, 2020	August 27, 2020
I-129F	K-3/K-4 - Already marri...e and/or dependent child	TEXAS	3.5 Months - 7 Months	February 05, 2020	August 27, 2020
I-130	Permanent resident fili... son or daughter over 21	CALIFORNIA	52.5 Months - 68 Months	January 12, 2015	August 27, 2020
I-130	Permanent resident fili... son or daughter over 21	NEBRASKA	12.5 Months - 16 Months	May 16, 2019	August 27, 2020
I-130	Permanent resident fili... son or daughter over 21	POTOMAC	17 Months - 22 Months	November 08, 2018	August 27, 2020
I-130	Permanent resident fili... son or daughter over 21	TEXAS	67.5 Months - 88 Months	May 13, 2013	August 27, 2020
I-130	Permanent resident fili... son or daughter over 21	VERMONT	51.5 Months - 67 Months	February 06, 2015	August 27, 2020
I-130	Permanent resident fili...spouse or child under 21	CALIFORNIA	12.5 Months - 16 Months	May 14, 2019	August 27, 2020
I-130	Permanent resident fili...spouse or child under 21	NEBRASKA	12.5 Months - 16 Months	May 16, 2019	August 27, 2020
I-130	Permanent resident fili...spouse or child under 21	POTOMAC	17 Months - 22 Months	November 08, 2018	August 27, 2020
I-130	Permanent resident fili...spouse or child under 21	TEXAS	67.5 Months - 88 Months	May 13, 2013	August 27, 2020
I-130	Permanent resident fili...spouse or child under 21	VERMONT	17.5 Months - 22.5 Months	October 24, 2018	August 27, 2020
I-130	U.S. citizen filing for a brother or sister	CALIFORNIA	108.5 Months - 141 Months	December 12, 2008	August 27, 2020
I-130	U.S. citizen filing for a brother or sister	NEBRASKA	6.5 Months - 8.5 Months	December 23, 2019	August 27, 2020
I-130	U.S. citizen filing for a brother or sister	POTOMAC	11 Months - 14.5 Months	July 03, 2019	August 27, 2020
I-130	U.S. citizen filing for a brother or sister	TEXAS	6 Months - 7.5 Months	January 19, 2020	August 27, 2020
I-130	U.S. citizen filing for a brother or sister	VERMONT	100.5 Months - 131 Months	October 16, 2009	August 27, 2020
I-130	U.S. citizen filing for... son or daughter over 21	CALIFORNIA	31 Months - 40 Months	May 15, 2017	August 27, 2020
